"header"	"created"	"author"	"topic"	"path"	"source"
"ПОСЕВНАЯ ПЛОЩАДЬ — БОЛЕЕ 26 ТЫСЯЧ ГЕКТАРОВ"	"15.05.2013"	"Noname"	"Район: день за днем"	"2013/May/2957.txt"	"http://desnyanka.ru/rayon_den_za_dnem/991-POSEVNAYAPLOSHCHADBOLEE26TISYACHGEKTAROV.html"
"НАГРАЖДЕНИЕ ПАМЯТНЫМ ЗНАКОМ"	"15.05.2013"	"Noname"	"В администрации района"	"2013/May/2958.txt"	"http://desnyanka.ru/v_administracii_rayona/990-NAGRAZHDENIEPAMYATNIMZNAKOM.html"
"ЗАРПЛАТА РАБОТНИКОВ КУЛЬТУРЫ БУДЕТ РАСТИ"	"15.05.2013"	"Noname"	"Информация"	"2013/May/2959.txt"	"http://desnyanka.ru/informaciya/989-ZARPLATARABOTNIKOVKULTURIBUDETRASTI.html"
"«ВЫ НАВЕЧНО В СУДЬБЕ РОССИИ»"	"15.05.2013"	"Noname"	"Район: день за днем"	"2013/May/2960.txt"	"http://desnyanka.ru/rayon_den_za_dnem/988-VINAVECHNOVSUDBEROSSII.html"
"ВНИМАНИЕ — СОЦИАЛЬНЫМ ОБЪЕКТАМ"	"6.05.2013"	"Noname"	"Район: день за днем"	"2013/May/2961.txt"	"http://desnyanka.ru/rayon_den_za_dnem/987-VNIMANIESOTSIALNIMOBEKTAM.html"
"НА СЛУЖБУ В АРМИЮ"	"6.05.2013"	"Noname"	"Район: день за днем"	"2013/May/2962.txt"	"http://desnyanka.ru/rayon_den_za_dnem/986-NASLUZHBUVARMIYU.html"
"НАЧИНАЕТСЯ СТРОИТЕЛЬСТВО СЕТЕЙ ВОДОСНАБЖЕНИЯ В НЕТЬИНКЕ"	"6.05.2013"	"Noname"	"Район: день за днем"	"2013/May/2963.txt"	"http://desnyanka.ru/rayon_den_za_dnem/985-NACHINAETSYASTROITELSTVOSETEYVODOSNABZHENIYAVNETINKE.html"
"СВЕТ ВЕЧНОГО ОГНЯ"	"15.05.2013"	"Noname"	"Район: день за днем"	"2013/May/2964.txt"	"http://desnyanka.ru/rayon_den_za_dnem/998-SVETVECHNOGOOGNYA.html"
"«МЫ ПОМНИМ»"	"15.05.2013"	"Noname"	"Наши земляки"	"2013/May/2965.txt"	"http://desnyanka.ru/nashi_zemlyaki/997-MIPOMNIM.html"
"ДОМ, ГДЕ ВСЕГДА ТЕПЛО"	"15.05.2013"	"Noname"	"Наши земляки"	"2013/May/2966.txt"	"http://desnyanka.ru/nashi_zemlyaki/996-DOMGDEVSEGDATEPLO.html"
"ВСТРЕЧА В ПАСХАЛЬНЫЕ ДНИ"	"15.05.2013"	"Noname"	"Народ и власть"	"2013/May/2967.txt"	"http://desnyanka.ru/narod_i_vlast/995-VSTRECHAVPASHALNIEDNI.html"
"ЗА ПЕРЕДОВЫМ ОПЫТОМ — В ООО «ДРУЖБА-2»"	"15.05.2013"	"Noname"	"Район: день за днем"	"2013/May/2968.txt"	"http://desnyanka.ru/rayon_den_za_dnem/994-ZAPEREDOVIMOPITOMVOOODRUZHBA2.html"
"БЛАГОДАРНОСТЬ ОТ ОБЩЕСТВЕННОСТИ"	"15.05.2013"	"Noname"	"Наши земляки"	"2013/May/2969.txt"	"http://desnyanka.ru/nashi_zemlyaki/993-BLAGODARNOSTOTOBSHCHESTVENNOSTI.html"
