"header"	"created"	"author"	"topic"	"path"	"source"
"«МНЕ КАЖЕТСЯ ПОРОЮ, ЧТО СОЛДАТЫ…»"	"16.09.2013"	"Noname"	"Наши земляки"	"2013/September/0.txt"	"http://desnyanka.ru/nashi_zemlyaki/1157-MNEKAZHETSYAPOROYUCHTOSOLDATI.html"
"ПОДВИГ НАРОДА"	"9.07.2014"	"Noname"	"Информация"	"2014/July/1.txt"	"http://desnyanka.ru/informaciya/1941-podvig-naroda.html"
"«С ЮБИЛЕЕМ, «ПИОНЕРСКАЯ ПРАВДА»!  — 90 ЛЕТ ГАЗЕТЕ!»"	"5.02.2015"	"Noname"	"Информация"	"2015/February/2.txt"	"http://desnyanka.ru/informaciya/2597-s-yubileem-pionerskaya-pravda-90-let-gazete.html"
"СЛУЖБА ПО КОНТРАКТУ"	"6.02.2015"	"Noname"	"Информация"	"2015/February/3.txt"	"http://desnyanka.ru/informaciya/2613-sluzhba-po-kontraktu.html"
"И ЭТО ВСЕ О НЕЙ!"	"5.10.2011"	"Noname"	"Профессиональный праздник"	"2011/October/4.txt"	"http://desnyanka.ru/prof_prazdnik/379-IETOVSEONEY.html"
"РЕМОНТ  МНОГОКВАРТИРНЫХ  ДОМОВ: РЕШАЮТ САМИ ЖИЛЬЦЫ"	"15.03.2014"	"Noname"	"Профессиональный праздник"	"2014/March/5.txt"	"http://desnyanka.ru/prof_prazdnik/1608-remontmnogokvartirnihdomovreshayutsamizhiltsi.html"
"«ПРАВОСЛАВИЕ БРЯНСКОГО РАЙОНА»"	"6.08.2014"	"Noname"	"Район: день за днем"	"2014/August/6.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2032-pravoslavie-bryanskogo-rajona.html"
"НАСТОЯЩИЙ ПРАЗДНИК"	"24.09.2014"	"Карина Прошкина"	"Здоровье"	"2014/September/7.txt"	"http://desnyanka.ru/zdorov/2188-nastoyashhij-prazdnik.html"
"ПРИМИТЕ ИСКРЕННИЕ ПОЗДРАВЛЕНИЯ !"	"3.10.2014"	"Noname"	"Письмо в газету"	"2014/October/8.txt"	"http://desnyanka.ru/pismo_v_gaztu/2216-primite-iskrennie-pozdravleniy.html"
"ГЛАВА АДМИНИСТРАЦИИ БРЯНСКОГО РАЙОНА ДОСРОЧНО УШЕЛ В ОТСТАВКУ"	"19.12.2014"	"Виктор СТЕПАНОВ.  "	"Район: день за днем"	"2014/December/9.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2455-glava-administraczii-bryanskogo-rajona-dosrochno-ushel-v-otstavku.html"
"СТАРТУЕМ ВМЕСТЕ СО ВСЕЙ РОССИЕЙ!"	"17.02.2016"	"Noname"	"Спорт"	"2016/February/10.txt"	"http://desnyanka.ru/sport/4086-startuem-vmeste-so-vsej-rossiej-4086.html"
"СТАРТУЕМ ВМЕСТЕ СО ВСЕЙ РОССИЕЙ!"	"17.02.2016"	"Noname"	"Спорт"	"2016/February/11.txt"	"http://desnyanka.ru/sport/4085-startuem-vmeste-so-vsej-rossiej-4085.html"
"ДОСРОЧНАЯ ПОДПИСНАЯ КАМПАНИЯ"	"17.02.2016"	"Noname"	"Информация"	"2016/February/12.txt"	"http://desnyanka.ru/informaciya/4084-dosrochnaya-podpisnaya-kampaniya-4084.html"
"ИНФОРМКУРЬЕР"	"17.02.2016"	"Noname"	"Район: день за днем"	"2016/February/13.txt"	"http://desnyanka.ru/rayon_den_za_dnem/4083-informkurer-4083.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"17.02.2016"	"Noname"	"Народ и власть"	"2016/February/14.txt"	"http://desnyanka.ru/narod_i_vlast/4082-v-pravitelstve-oblasti-4082.html"
"ОСНОВНАЯ ЦЕЛЬ — ПОВЫШЕНИЕ КАЧЕСТВА ЖИЗНИ НАСЕЛЕНИЯ"	"17.02.2016"	"Noname"	"Народ и власть"	"2016/February/15.txt"	"http://desnyanka.ru/narod_i_vlast/4081-osnovnaya-czel-povishenie-kachestva-zhizni-naseleniya-4081.html"
"ЛУЧШАЯ В ПРОФЕССИИ"	"17.02.2016"	"Noname"	"Наши земляки"	"2016/February/16.txt"	"http://desnyanka.ru/nashi_zemlyaki/4080-luchshaya-v-professii-4080.html"
"«ЕДИНАЯ РОССИЯ»: ГОТОВИМСЯ К ПРЕДВАРИТЕЛЬНОМУ ГОЛОСОВАНИЮ"	"17.02.2016"	"Noname"	"Народ и власть"	"2016/February/17.txt"	"http://desnyanka.ru/narod_i_vlast/4079-edinaya-rossiya-gotovimsya-k-predvaritelnomu-golosovaniyu-4079.html"
"ПОЗДРАВЛЯЮ ПО-СОСЕДСКИ"	"17.02.2016"	"Noname"	"Письмо в газету"	"2016/February/18.txt"	"http://desnyanka.ru/pismo_v_gaztu/4078-pozdravlyayu-pososedski-4078.html"
"ГТО — ГОРЖУСЬ ТОБОЙ, ОТЕЧЕСТВО!"	"17.02.2016"	"Noname"	"Разное"	"2016/February/19.txt"	"http://desnyanka.ru/raznoe/4077-gto-gorzhus-toboj-otechestvo-4077.html"
"ТО ОТТЕПЕЛЬ, ТО СНЕГОПАД"	"29.01.2016"	"Noname"	"Район: день за днем"	"2016/January/20.txt"	"http://desnyanka.ru/rayon_den_za_dnem/4026-to-ottepel-to-snegopad-4026.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"29.01.2016"	"Noname"	"Народ и власть"	"2016/January/21.txt"	"http://desnyanka.ru/narod_i_vlast/4025-v-pravitelstve-oblasti-4025.html"
"С РАСШИРЕННОГО СОВЕЩАНИЯ"	"29.01.2016"	"Noname"	"В администрации района"	"2016/January/22.txt"	"http://desnyanka.ru/v_administracii_rayona/4024-s-rasshirennogo-soveshhaniya-4024.html"
"ИНФОРМКУРЬЕР"	"29.01.2016"	"Noname"	"Район: день за днем"	"2016/January/23.txt"	"http://desnyanka.ru/rayon_den_za_dnem/4023-informkurer-4023.html"
"ВЫПЛАТЫ ДЛЯ БЫВШИХ ВОЕННОПЛЕННЫХ"	"29.01.2016"	"Noname"	"Службы информируют"	"2016/January/24.txt"	"http://desnyanka.ru/sluzhbi_informiruut/4022-viplati-dlya-bivshix-voennoplennix-4022.html"
"ВЕРИТЬ В СВОЮ СТРАНУ"	"29.01.2016"	"Noname"	"Наши земляки"	"2016/January/25.txt"	"http://desnyanka.ru/nashi_zemlyaki/4021-verit-v-svoyu-stranu-4021.html"
"ПРИЗЁР ВО ВСЕРОССИЙСКОМ КОНКУРСЕ"	"29.01.2016"	"Noname"	"Разное"	"2016/January/26.txt"	"http://desnyanka.ru/raznoe/4020-prizr-vo-vserossijskom-konkurse-4020.html"
"2015: ПОЛИЦЕЙСКИЕ ИТОГИ"	"29.01.2016"	"Noname"	"Службы информируют"	"2016/January/27.txt"	"http://desnyanka.ru/sluzhbi_informiruut/4019-policzejskie-itogi-4019.html"
"ЛЫЖНЫЙ СЕЗОН В РАЗГАРЕ"	"29.01.2016"	"Noname"	"Спорт"	"2016/January/28.txt"	"http://desnyanka.ru/sport/4018-lizhnij-sezon-v-razgare-4018.html"
"НИЗКИЙ ВАМ ПОКЛОН, ЛЮДИ ДОБРЫЕ"	"29.01.2016"	"Noname"	"Разное"	"2016/January/29.txt"	"http://desnyanka.ru/raznoe/4017-nizkij-vam-poklon-lyudi-dobrie-4017.html"
"ЭТУ ДОРОГУ ЖДУТ…"	"3.02.2016"	"Noname"	"Район: день за днем"	"2016/February/30.txt"	"http://desnyanka.ru/rayon_den_za_dnem/4043-etu-dorogu-zhdut-4043.html"
"ЛИСТАЯ СТРАНИЦЫ…"	"3.02.2016"	"Noname"	"Это интересно"	"2016/February/31.txt"	"http://desnyanka.ru/eto_interesno/4042-listaya-straniczi-4042.html"
"ГЕНЕТИЧЕСКИЕ ДАННЫЕ В ЭЛЕКТРОННОЙ БАЗЕ"	"3.02.2016"	"Noname"	"Район: день за днем"	"2016/February/32.txt"	"http://desnyanka.ru/rayon_den_za_dnem/4041-geneticheskie-dannie-v-elektronnoj-baze-4041.html"
"МОЯ СЕМЕЙНАЯ РЕЛИКВИЯ"	"3.02.2016"	"Noname"	"Это интересно"	"2016/February/33.txt"	"http://desnyanka.ru/eto_interesno/4040-moya-semejnaya-relikviya-4040.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"3.02.2016"	"Noname"	"Народ и власть"	"2016/February/34.txt"	"http://desnyanka.ru/narod_i_vlast/4039-v-pravitelstve-oblasti-4039.html"
"ЗЕМЕЛЬНЫЕ УЧАСТКИ — МНОГОДЕТНЫМ СЕМЬЯМ"	"3.02.2016"	"Noname"	"В администрации района"	"2016/February/35.txt"	"http://desnyanka.ru/v_administracii_rayona/4038-zemelnie-uchastki-mnogodetnim-semyam-4038.html"
"ИНФОРМКУРЬЕР"	"3.02.2016"	"Noname"	"Район: день за днем"	"2016/February/36.txt"	"http://desnyanka.ru/rayon_den_za_dnem/4037-informkurer-4037.html"
"СЛОВО ДЕПУТАТУ"	"3.02.2016"	"Noname"	"Народ и власть"	"2016/February/37.txt"	"http://desnyanka.ru/narod_i_vlast/4036-slovo-deputatu-4036.html"
"АКЦЕНТ — НА ВОЛОНТЕРСКУЮ РАБОТУ"	"3.02.2016"	"Noname"	"В администрации района"	"2016/February/38.txt"	"http://desnyanka.ru/v_administracii_rayona/4035-akczent-na-volonterskuyu-rabotu-4035.html"
"СЛОВА БЛАГОДАРНОСТИ"	"3.02.2016"	"Noname"	"Разное"	"2016/February/39.txt"	"http://desnyanka.ru/raznoe/4034-slova-blagodarnosti-4034.html"
"БРЯНЩИНА МАСТЕРОВАЯ"	"10.02.2016"	"Noname"	"Информация"	"2016/February/40.txt"	"http://desnyanka.ru/informaciya/4067-bryanshhina-masterovaya-4067.html"
"СЛАДОСТИ СВЕНСКОЙ ЗЕМЛИ"	"10.02.2016"	"Noname"	"Район: день за днем"	"2016/February/41.txt"	"http://desnyanka.ru/rayon_den_za_dnem/4066-sladosti-svenskoj-zemli-4066.html"
"ИНФОРМКУРЬЕР"	"10.02.2016"	"Noname"	"Район: день за днем"	"2016/February/42.txt"	"http://desnyanka.ru/rayon_den_za_dnem/4065-informkurer-4065.html"
"БРЯНСКАЯ ДЕЛЕГАЦИЯ НА XV СЪЕЗДЕ ПАРТИИ «ЕДИНАЯ РОССИЯ»"	"10.02.2016"	"Noname"	"Народ и власть"	"2016/February/43.txt"	"http://desnyanka.ru/narod_i_vlast/4064-bryanskaya-delegacziya-na-sezde-partii-edinaya-rossiya-4064.html"
"ЁЛОЧНАЯ ИГРУШКА КАК ДОСТОЯНИЕ ГОСУДАРСТВА"	"10.02.2016"	"Noname"	"Это интересно"	"2016/February/44.txt"	"http://desnyanka.ru/eto_interesno/4063-lochnaya-igrushka-kak-dostoyanie-gosudarstva-4063.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"10.02.2016"	"Noname"	"Народ и власть"	"2016/February/45.txt"	"http://desnyanka.ru/narod_i_vlast/4062-v-pravitelstve-oblasti-4062.html"
"О ЛЬГОТАХ ПО ОПЛАТЕ ВЗНОСА НА КАПИТАЛЬНЫЙ РЕМОНТ"	"10.02.2016"	"Noname"	"Службы информируют"	"2016/February/46.txt"	"http://desnyanka.ru/sluzhbi_informiruut/4061-o-lgotax-po-oplate-vznosa-na-kapitalnij-remont-4061.html"
"ЧТОБЫ НЕ СЛУЧИЛОСЬ БЕДЫ"	"10.02.2016"	"Noname"	"Службы информируют"	"2016/February/47.txt"	"http://desnyanka.ru/sluzhbi_informiruut/4060-chtobi-ne-sluchilos-bedi-4060.html"
"В ЦЕЛЯХ НЕДОПУЩЕНИЯ РАСПРОСТРАНЕНИЯ ВИРУСА АЧС"	"10.02.2016"	"Noname"	"Службы информируют"	"2016/February/48.txt"	"http://desnyanka.ru/sluzhbi_informiruut/4059-v-czelyax-nedopushheniya-rasprostraneniya-virusa-achs-4059.html"
"ВЫШЛИ В ФИНАЛ"	"10.02.2016"	"Noname"	"Спорт"	"2016/February/49.txt"	"http://desnyanka.ru/sport/4058-vishli-v-final-4058.html"
"С НОВЫМ ГОДОМ!"	"30.12.2015"	"Noname"	"Разное"	"2015/December/50.txt"	"http://desnyanka.ru/raznoe/3938-s-novim-godom-3938.html"
"В БУДУЩЕЕ — С УВЕРЕННОСТЬЮ"	"30.12.2015"	"Noname"	"В администрации района"	"2015/December/51.txt"	"http://desnyanka.ru/v_administracii_rayona/3936-v-budushhee-s-uverennostyu-3936.html"
"УНИВЕРСИТЕТ ТРЕТЬЕГО ВОЗРАСТА"	"30.12.2015"	"Noname"	"Район: день за днем"	"2015/December/52.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3935-universitet-tretego-vozrasta-3935.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"30.12.2015"	"Noname"	"Народ и власть"	"2015/December/53.txt"	"http://desnyanka.ru/narod_i_vlast/3934-v-pravitelstve-oblasti-3934.html"
"В ГОСТИ К ЛИЦЕИСТАМ"	"30.12.2015"	"Noname"	"Район: день за днем"	"2015/December/54.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3933-v-gosti-k-liczeistam-3933.html"
"ПОДАРИ ДЕТЯМ СКАЗКУ!"	"30.12.2015"	"Noname"	"Район: день за днем"	"2015/December/55.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3932-podari-detyam-skazku-3932.html"
"БУДЬТЕ ОСТОРОЖНЫ С ОГНЕМ"	"30.12.2015"	"Noname"	"Службы информируют"	"2015/December/56.txt"	"http://desnyanka.ru/sluzhbi_informiruut/3931-budte-ostorozhni-s-ognem-3931.html"
"ПЕДАГОГ — ВСЕГДА ПОБЕДИТЕЛЬ"	"30.12.2015"	"Noname"	"Это интересно"	"2015/December/57.txt"	"http://desnyanka.ru/eto_interesno/3929-pedagog-vsegda-pobeditel-3929.html"
"МАШИННО-ТРАКТОРНЫЙ СТАН НА ПОДВОРЬЕ"	"30.12.2015"	"Noname"	"Наши земляки"	"2015/December/58.txt"	"http://desnyanka.ru/nashi_zemlyaki/3928-mashinnotraktornij-stan-na-podvore-3928.html"
"В кругу друзей"	"28.10.2015"	"Noname"	"Информация"	"2015/October/59.txt"	"http://desnyanka.ru/informaciya/3740-v-krugu-druzej-3740.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"28.10.2015"	"Noname"	"Народ и власть"	"2015/October/60.txt"	"http://desnyanka.ru/narod_i_vlast/3739-v-pravitelstve-oblasti-3739.html"
"МИТИНГ В ХАЦУНИ:  «МЫ ПОМНИМ»"	"28.10.2015"	"Noname"	"К 70-летию Великой Победы"	"2015/October/61.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/3738-miting-v-xaczuni-mi-pomnim-3738.html"
"ИНФОРМКУРЬЕР"	"28.10.2015"	"Noname"	"Район: день за днем"	"2015/October/62.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3737-informkurer-3737.html"
"ЗОЛОТОЕ СЕРДЦЕ"	"28.10.2015"	"Noname"	"Наши земляки"	"2015/October/63.txt"	"http://desnyanka.ru/nashi_zemlyaki/3736-zolotoe-serdcze-3736.html"
"ЗАЛ ПРИВЕТСТВОВАЛ ИСПОЛНИТЕЛЕЙ СТОЯ"	"28.10.2015"	"Noname"	"Район: день за днем"	"2015/October/64.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3734-zal-privetstvoval-ispolnitelej-stoya-3734.html"
"ПРИУМНОЖАЯ СЛАВУ ШКОЛЫ"	"28.10.2015"	"Noname"	"Это интересно"	"2015/October/65.txt"	"http://desnyanka.ru/eto_interesno/3733-priumnozhaya-slavu-shkoli-3733.html"
"ПОМОЧЬ СЕМЬЕ"	"28.10.2015"	"Noname"	"Службы информируют"	"2015/October/66.txt"	"http://desnyanka.ru/sluzhbi_informiruut/3732-pomoch-seme-3732.html"
"ЯРКИЕ ТАЛАНТЫ ДОБРУНИ"	"28.10.2015"	"Noname"	"Разное"	"2015/October/67.txt"	"http://desnyanka.ru/raznoe/3731-yarkie-talanti-dobruni-3731.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"28.08.2015"	"Noname"	"Народ и власть"	"2015/August/68.txt"	"http://desnyanka.ru/narod_i_vlast/3557-v-pravitelstve-oblasti-3557.html"
"ВПЕРЕДИ — НОВЫЙ УЧЕБНЫЙ ГОД"	"28.08.2015"	"Noname"	"В администрации района"	"2015/August/69.txt"	"http://desnyanka.ru/v_administracii_rayona/3556-vperedi-novij-uchebnij-god-3556.html"
"ДЕПУТАТ СЛОВО ДЕРЖИТ"	"28.08.2015"	"Noname"	"Народ и власть"	"2015/August/70.txt"	"http://desnyanka.ru/narod_i_vlast/3555-deputat-slovo-derzhit-3555.html"
"ВСЕРОССИЙСКИЙ ВОКАЛЬНЫЙ КОНКУРС"	"28.08.2015"	"Noname"	"Информация"	"2015/August/71.txt"	"http://desnyanka.ru/informaciya/3554-vserossijskij-vokalnij-konkurs-3554.html"
"РАБОТА В РОССИИ"	"28.08.2015"	"Noname"	"Информация"	"2015/August/72.txt"	"http://desnyanka.ru/informaciya/3553-rabota-v-rossii-3553.html"
"БЛАГОДАРИМ"	"28.08.2015"	"Noname"	"В администрации района"	"2015/August/73.txt"	"http://desnyanka.ru/v_administracii_rayona/3552-blagodarim-3552.html"
"«КАК ЗАЩИТИТЬ СВОИ ПРАВА?»"	"28.08.2015"	"Noname"	"Информация"	"2015/August/74.txt"	"http://desnyanka.ru/informaciya/3551-kak-zashhitit-svoi-prava-3551.html"
"ДЛЯ ЭФФЕКТИВНОГО ВВЕДЕНИЯ ШКОЛЬНОЙ ФОРМЫ"	"26.08.2015"	"Noname"	"Народ и власть"	"2015/August/75.txt"	"http://desnyanka.ru/narod_i_vlast/3549-dlya-effektivnogo-vvedeniya-shkolnoj-formi-3549.html"
"«БРЯНСКИЙ РАЙОН — ЭТО МЫ!»"	"26.08.2015"	"Noname"	"Район: день за днем"	"2015/August/76.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3548-bryanskij-rajon-eto-mi-3548.html"
"«БРЯНСКИЙ РАЙОН — ЭТО МЫ!»"	"26.08.2015"	"Noname"	"Район: день за днем"	"2015/August/77.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3547-bryanskij-rajon-eto-mi-3547.html"
"ЗОЛОТО БРЯНСКОГО РАЙОНА"	"26.06.2015"	"Артем АЗАРОВ"	"В администрации района"	"2015/June/78.txt"	"http://desnyanka.ru/v_administracii_rayona/3359-zoloto-bryanskogo-rajona-3359.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"26.06.2015"	"Noname"	"Народ и власть"	"2015/June/79.txt"	"http://desnyanka.ru/narod_i_vlast/3358-v-pravitelstve-oblasti-3358.html"
"И В СПОРТЕ – ПЕРВЫЕ"	"26.06.2015"	"Дмитрий КУЛЕШОВ"	"Спорт"	"2015/June/80.txt"	"http://desnyanka.ru/sport/3357-i-v-sporte-pervie-3357.html"
"88% СТРАХОВАТЕЛЕЙ БРЯНСКОГО РАЙОНА ОБЕСПЕЧИЛИ СВОЕВРЕМЕННУЮ УПЛАТУ СТРАХОВЫХ ВЗНОСОВ"	"26.06.2015"	"Noname"	"Службы информируют"	"2015/June/81.txt"	"http://desnyanka.ru/sluzhbi_informiruut/3356-straxovatelej-bryanskogo-rajona-obespechili-svoevremennuyu-uplatu-straxovix-vznosov-3356.html"
"ПОКА МЫ ЖИВЫ — РОССИЯ ЖИВА!"	"26.06.2015"	"Е.М. Нетбай"	"Район: день за днем"	"2015/June/82.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3355-poka-mi-zhivi-rossiya-zhiva-3355.html"
"С 27 ПО 30 ИЮНЯ В БРЯНСКЕ ПРОЙДЕТ ПЕРВЫЙ ПАТРИОТИЧЕСКИЙ ФЕСТИВАЛЬ «ПАРТИЗАНСКИМИ ТРОПАМИ БРЯНЩИНЫ»"	"26.06.2015"	"Noname"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/June/83.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/kulturno-massovyie-sportivnyie-i-obshhestvenno-prosvetitelskie-meropriyatiya/3354-s-po-iyunya-v-bryanske-projdet-pervij-patrioticheskij-festival-partizanskimi-tropami-bryanshhini-3354.html"
"«КРУГЛЫЙ СТОЛ» ОНФ: ОЦЕНИЛИ ДОСТУПНОСТЬ И ИНФОРМАТИВНОСТЬ САЙТОВ ОРГАНОВ ВЛАСТИ"	"26.06.2015"	"Noname"	"Народ и власть"	"2015/June/84.txt"	"http://desnyanka.ru/narod_i_vlast/3353-kruglij-stol-onf-oczenili-dostupnost-i-informativnost-sajtov-organov-vlasti-3353.html"
"О СОЦИАЛЬНЫХ УСЛУГАХ ЖЕНЩИНАМ И ДЕТЯМ, ОКАЗАВШИМСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ"	"26.06.2015"	"Noname"	"Службы информируют"	"2015/June/85.txt"	"http://desnyanka.ru/sluzhbi_informiruut/3352-o-soczialnix-uslugax-zhenshhinam-i-detyam-okazavshimsya-v-trudnoj-zhiznennoj-situaczii-3352.html"
"НА ЗАМЕТКУ ОТДЫХАЮЩИМ"	"26.06.2015"	"Noname"	"Службы информируют"	"2015/June/86.txt"	"http://desnyanka.ru/sluzhbi_informiruut/3351-na-zametku-otdixayushhim-3351.html"
"СПАСИБО ЗА НЕРАВНОДУШИЕ"	"26.06.2015"	"Noname"	"Письмо в газету"	"2015/June/87.txt"	"http://desnyanka.ru/pismo_v_gaztu/3350-spasibo-za-neravnodushie-3350.html"
"«Горячая линия» для ветеранов"	"29.04.2015"	"Noname"	"Социальная поддержка участников Великой Отечественной войны"	"2015/April/88.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/sotsialnaya-podderzhka-uchastnikov-velikoy-otechestvennoy-voynyi/3149-goryachaya-liniya-dlya-veteranov-3149.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"29.04.2015"	"Noname"	"Народ и власть"	"2015/April/89.txt"	"http://desnyanka.ru/narod_i_vlast/3148-v-pravitelstve-oblasti-3148.html"
"ВЕТЕРАНЫ СМОГУТ БЕСПЛАТНО ОТПРАВЛЯТЬ ТЕЛЕГРАММЫ И СОВЕРШАТЬ ЗВОНКИ ИЗ ПОЧТОВЫХ ОТДЕЛЕНИЙ"	"29.04.2015"	"Noname"	"Районные, областные и федеральные акции"	"2015/April/90.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/rayonnyie-oblastnyie-i-federalnyie-aktsii/3147-veterani-smogut-besplatno-otpravlyat-telegrammi-i-sovershat-zvonki-iz-pochtovix-otdelenij-3147.html"
"ОНИ ОТВЕЧАЛИ ЗА ТРУДОВОЙ ФРОНТ"	"29.04.2015"	"Александр КАЗАКОВ"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/April/91.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/vruchenie-yubileynoy-medali-70-let-pobedyi-v-velikoy-otechestvennoy-voyne-1941-1945-gg/3146-oni-otvechali-za-trudovoj-front-3146.html"
"«ЛЕС ПОБЕДЫ» НА СТОЯНКЕ ВИНОГРАДОВА"	"29.04.2015"	"Noname"	"Районные, областные и федеральные акции"	"2015/April/92.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/rayonnyie-oblastnyie-i-federalnyie-aktsii/3145-les-pobedi-na-stoyanke-vinogradova-3145.html"
"ПАМЯТЬ ЖИВА"	"29.04.2015"	" Константин ЩЕГЛОВ"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/April/93.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/kulturno-massovyie-sportivnyie-i-obshhestvenno-prosvetitelskie-meropriyatiya/3144-pamyat-zhiva-3144.html"
"ПРОФИЛАКТИКА — ОСНОВНАЯ ЗАДАЧА"	"29.04.2015"	"Noname"	"В администрации района"	"2015/April/94.txt"	"http://desnyanka.ru/v_administracii_rayona/3143-profilaktika-osnovnaya-zadacha-3143.html"
"О ДОБРОВОЛЬНОЙ СДАЧЕ ОРУЖИЯ, БОЕПРИПАСОВ, ВЗРЫВЧАТЫХ ВЕЩЕСТВ"	"29.04.2015"	"Noname"	"Службы информируют"	"2015/April/95.txt"	"http://desnyanka.ru/sluzhbi_informiruut/3142-o-dobrovolnoj-sdache-oruzhiya-boepripasov-vzrivchatix-veshhestv-3142.html"
"ФЕСТИВАЛЬ «ОГНЕННЫЙ РУБЕЖ»"	"29.04.2015"	"Noname"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/April/96.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/kulturno-massovyie-sportivnyie-i-obshhestvenno-prosvetitelskie-meropriyatiya/3141-festival-ognennij-rubezh-3141.html"
"НОЧЬ ПОБЕДЫ"	"29.04.2015"	"Noname"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/April/97.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/kulturno-massovyie-sportivnyie-i-obshhestvenno-prosvetitelskie-meropriyatiya/3140-noch-pobedi-3140.html"
"РАЗВИТИЕ СПОРТА В БРЯНСКОЙ ОБЛАСТИ"	"27.02.2015"	"Noname"	"Народ и власть"	"2015/February/98.txt"	"http://desnyanka.ru/narod_i_vlast/2784-razvitie-sporta-v-bryanskoj-oblasti.html"
"В ПЕРВУЮ ОЧЕРЕДЬ ДУМАТЬ О ЛЮДЯХ"	"27.02.2015"	"Александр КАЗАКОВ"	"В администрации района"	"2015/February/99.txt"	"http://desnyanka.ru/v_administracii_rayona/2783-v-pervuyu-ochered-dumat-o-lyudyax.html"
"ПАМЯТИ ВЕЛИКОГО ПЕВЦА"	"27.02.2015"	"Noname"	"К 70-летию Великой Победы"	"2015/February/100.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/2782-pamyati-velikogo-pevcza.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"27.02.2015"	"Noname"	"Народ и власть"	"2015/February/101.txt"	"http://desnyanka.ru/narod_i_vlast/2781-v-pravitelstve-oblasti.html"
"АНТИКРИЗИСНЫЙ ШТАБ: КОНТРОЛЬ НАД ЦЕНАМИ В БРЯНСКОЙ ОБЛАСТИ"	"27.02.2015"	"Noname"	"Народ и власть"	"2015/February/102.txt"	"http://desnyanka.ru/narod_i_vlast/2780-antikrizisnij-shtab-kontrol-nad-czenami-v-bryanskoj-oblasti.html"
"ВСТРЕЧА С БЛАГОЧИННЫМ БРЯНСКОГО ЦЕРКОВНОГО ОКРУГА"	"27.02.2015"	"Виктория БУРОВА"	"В администрации района"	"2015/February/103.txt"	"http://desnyanka.ru/v_administracii_rayona/2779-vstrecha-s-blagochinnim-bryanskogo-czerkovnogo-okruga.html"
"В БРЯНСКЕ ПРОЙДЕТ АКЦИЯ «ПОЛЕВАЯ ПОЧТА»"	"27.02.2015"	"Noname"	"К 70-летию Великой Победы"	"2015/February/104.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/2778-v-bryanske-projdet-akcziya-polevaya-pochta.html"
"«ПОКА МЫ ПОМНИМ — МЫ ЖИВЕМ»"	"27.02.2015"	"Noname"	"К 70-летию Великой Победы"	"2015/February/105.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/2777-poka-mi-pomnim-mi-zhivem.html"
"ПРИГЛАШАЕМ В МУЗЕЙ"	"27.02.2015"	"Noname"	"К 70-летию Великой Победы"	"2015/February/106.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/2776-priglashaem-v-muzej.html"
